epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,29442.5,0.83967,0.43907,1.11605,0.97305,0.91955,0.97152,0.76677,0.82389,0.32969,1.13695,0.005611,0.005611,0.005611
135,29661.2,0.83385,0.42571,1.11287,0.97056,0.92047,0.96932,0.76766,0.82747,0.33028,1.13868,0.005578,0.005578,0.005578
136,29881.4,0.83843,0.42712,1.11532,0.96816,0.92362,0.97174,0.76718,0.82308,0.33278,1.13751,0.005545,0.005545,0.005545
137,30102.8,0.83304,0.43272,1.11073,0.96929,0.92296,0.97066,0.76908,0.83045,0.33227,1.1457,0.005512,0.005512,0.005512
138,30322.2,0.8304,0.42531,1.11076,0.97292,0.92324,0.9734,0.77082,0.83052,0.33206,1.14613,0.005479,0.005479,0.005479
139,30542,0.83867,0.43388,1.11037,0.97316,0.91868,0.97024,0.76855,0.82681,0.33016,1.14405,0.005446,0.005446,0.005446
140,30762.2,0.83828,0.43183,1.11297,0.97401,0.91534,0.97123,0.77072,0.82244,0.3315,1.1405,0.005413,0.005413,0.005413
141,30982.8,0.83781,0.42553,1.11478,0.97276,0.91251,0.969,0.7665,0.82408,0.32888,1.14228,0.00538,0.00538,0.00538
142,31202.7,0.84076,0.43462,1.11911,0.97601,0.91412,0.96953,0.76801,0.82611,0.32619,1.14376,0.005347,0.005347,0.005347
143,31421.6,0.82386,0.42641,1.1053,0.97167,0.91977,0.97096,0.77039,0.82776,0.32156,1.14729,0.005314,0.005314,0.005314
144,31641.4,0.82472,0.42417,1.09856,0.97123,0.91786,0.97053,0.76996,0.82821,0.32569,1.14697,0.005281,0.005281,0.005281
145,31862,0.82522,0.42222,1.11007,0.96288,0.92762,0.9687,0.76884,0.82415,0.33178,1.14356,0.005248,0.005248,0.005248
146,32081.9,0.83204,0.43131,1.11626,0.96699,0.92802,0.96596,0.76492,0.83096,0.32938,1.14891,0.005215,0.005215,0.005215
147,32301.8,0.82199,0.42503,1.10456,0.97096,0.9219,0.96586,0.76361,0.83112,0.33423,1.14655,0.005182,0.005182,0.005182
148,32521.1,0.8209,0.41898,1.10107,0.96866,0.90315,0.95921,0.75723,0.83507,0.34005,1.14599,0.005149,0.005149,0.005149
149,32741.8,0.81779,0.41243,1.09711,0.97854,0.90003,0.96201,0.76022,0.82536,0.33935,1.14342,0.005116,0.005116,0.005116
150,32961.5,0.82051,0.42042,1.10033,0.97786,0.90002,0.96687,0.76244,0.8188,0.3397,1.13975,0.005083,0.005083,0.005083
151,33181.2,0.81464,0.41996,1.09993,0.97412,0.89049,0.96279,0.75892,0.8284,0.34409,1.14678,0.00505,0.00505,0.00505
152,33401.6,0.81218,0.41728,1.09891,0.9656,0.90586,0.9639,0.75907,0.82961,0.33719,1.148,0.005017,0.005017,0.005017
153,33621.5,0.81253,0.41098,1.09883,0.96742,0.91335,0.96493,0.76293,0.82466,0.3296,1.14274,0.004984,0.004984,0.004984
154,33840.8,0.80915,0.41419,1.09147,0.97069,0.90756,0.96646,0.76558,0.82282,0.32474,1.14201,0.004951,0.004951,0.004951
155,34063.4,0.81064,0.41258,1.09845,0.96538,0.91928,0.96602,0.76376,0.82264,0.32665,1.1438,0.004918,0.004918,0.004918
156,34283.5,0.80523,0.40919,1.0966,0.96914,0.9191,0.96608,0.76269,0.82474,0.32478,1.14535,0.004885,0.004885,0.004885
157,34505.6,0.80365,0.40866,1.0905,0.97101,0.91455,0.96603,0.76333,0.82687,0.3243,1.14411,0.004852,0.004852,0.004852
158,34725.7,0.8027,0.41263,1.09597,0.97647,0.91075,0.96636,0.76377,0.82776,0.32356,1.14752,0.004819,0.004819,0.004819
159,34946.3,0.8121,0.41818,1.09845,0.95421,0.92396,0.96738,0.76339,0.82802,0.321,1.14849,0.004786,0.004786,0.004786
160,35165.8,0.79522,0.41017,1.08907,0.95433,0.92208,0.96784,0.76427,0.82799,0.32233,1.1503,0.004753,0.004753,0.004753
161,35385,0.7957,0.4064,1.09732,0.97641,0.90036,0.96667,0.76339,0.82627,0.32161,1.15022,0.00472,0.00472,0.00472
162,35605.4,0.80375,0.40553,1.09068,0.96679,0.91255,0.96671,0.76255,0.826,0.31962,1.14984,0.004687,0.004687,0.004687
163,35825.7,0.78696,0.39868,1.08355,0.96602,0.9147,0.96693,0.76218,0.82449,0.3232,1.14791,0.004654,0.004654,0.004654
164,36046.4,0.79906,0.40474,1.08713,0.96784,0.91119,0.9678,0.76453,0.82503,0.3217,1.14809,0.004621,0.004621,0.004621
165,36267.7,0.79401,0.40422,1.08278,0.97677,0.91358,0.97046,0.76605,0.82375,0.31931,1.14662,0.004588,0.004588,0.004588
166,36487.2,0.7976,0.40585,1.08698,0.97826,0.91893,0.97022,0.769,0.82126,0.31152,1.14402,0.004555,0.004555,0.004555
167,36707,0.79968,0.40852,1.09387,0.97523,0.92479,0.97064,0.77293,0.82154,0.3097,1.14247,0.004522,0.004522,0.004522
168,36928,0.77993,0.39671,1.08547,0.97725,0.9245,0.97133,0.77243,0.81967,0.30711,1.13917,0.004489,0.004489,0.004489
169,37148.2,0.78734,0.39447,1.08504,0.97484,0.92978,0.97159,0.77418,0.82132,0.30702,1.14057,0.004456,0.004456,0.004456
170,37369,0.7859,0.39589,1.08031,0.97475,0.9245,0.97117,0.77398,0.8207,0.31223,1.14277,0.004423,0.004423,0.004423
171,37589,0.78139,0.39804,1.08086,0.97601,0.92366,0.971,0.77386,0.82062,0.31087,1.14555,0.00439,0.00439,0.00439
172,37809.6,0.78114,0.3991,1.0834,0.97517,0.9274,0.97091,0.77384,0.82169,0.31057,1.14623,0.004357,0.004357,0.004357
173,38028.9,0.77385,0.39081,1.08068,0.97685,0.92112,0.97129,0.77372,0.82265,0.31105,1.14805,0.004324,0.004324,0.004324
174,38249.2,0.78637,0.39327,1.08441,0.97341,0.92073,0.97137,0.77283,0.82136,0.30928,1.14875,0.004291,0.004291,0.004291
175,38468.9,0.78107,0.39374,1.07792,0.96862,0.92252,0.97142,0.77246,0.82053,0.30952,1.15026,0.004258,0.004258,0.004258
176,38688.3,0.77785,0.38985,1.07888,0.96725,0.92567,0.97072,0.77376,0.82015,0.31119,1.15142,0.004225,0.004225,0.004225
177,38909.3,0.77826,0.39513,1.07859,0.97072,0.922,0.97091,0.77217,0.81961,0.3113,1.15369,0.004192,0.004192,0.004192
178,39131.6,0.77833,0.39328,1.08529,0.97064,0.92384,0.97077,0.77,0.81922,0.31133,1.15441,0.004159,0.004159,0.004159
179,39350.5,0.77618,0.39507,1.08147,0.97314,0.92515,0.97128,0.7716,0.81728,0.31116,1.1539,0.004126,0.004126,0.004126
180,39570,0.76749,0.38858,1.0726,0.97035,0.92337,0.97103,0.77269,0.81784,0.31062,1.15465,0.004093,0.004093,0.004093
181,39788.7,0.7747,0.39938,1.08013,0.97321,0.92573,0.97186,0.77433,0.81794,0.30975,1.15526,0.00406,0.00406,0.00406
182,40008.5,0.77374,0.38855,1.07495,0.97312,0.92271,0.97184,0.7748,0.81823,0.30783,1.1561,0.004027,0.004027,0.004027
183,40228.1,0.76775,0.39004,1.07838,0.97108,0.92626,0.97197,0.77511,0.81806,0.30822,1.1567,0.003994,0.003994,0.003994
184,40447.3,0.77036,0.39608,1.08329,0.97116,0.92978,0.9718,0.77488,0.81932,0.30853,1.15802,0.003961,0.003961,0.003961
185,40666.1,0.76931,0.38759,1.08138,0.97594,0.92389,0.97186,0.77448,0.82027,0.3094,1.15993,0.003928,0.003928,0.003928
186,40886.2,0.77466,0.38738,1.07964,0.97803,0.92152,0.97155,0.77268,0.822,0.30861,1.16073,0.003895,0.003895,0.003895
187,41106.1,0.76728,0.37886,1.07404,0.97338,0.92751,0.97125,0.77068,0.82432,0.30833,1.16184,0.003862,0.003862,0.003862
188,41325.5,0.76156,0.38608,1.07623,0.9714,0.92787,0.97051,0.77076,0.82716,0.3101,1.16372,0.003829,0.003829,0.003829
